 [2025-11-16 17:42:20] iteration        1/30517578 | consumed samples:           64 | elapsed time per iteration (ms): 111053.3 | throughput per GPU (TFLOP/s/GPU): 119.7 | learning rate: 1.310719E-09 | decoupled learning rate: 3.276798E-09 | global batch size:    64 | lm loss: 1.195438E+01 | loss scale: 1.0 | grad norm: 80.507 | number of skipped iterations:   0 | number of nan iterations:   0 |
[Rank 62] (after 1 iterations) memory (MB) | allocated: 87122.2958984375 | max allocated: 94772.328125 | reserved: 87856.0 | max reserved: 95080.0[Rank 60] (after 1 iterations) memory (MB) | allocated: 87122.2958984375 | max allocated: 94772.328125 | reserved: 87856.0 | max reserved: 95080.0
[Rank 61] (after 1 iterations) memory (MB) | allocated: 87122.2958984375 | max allocated: 94772.328125 | reserved: 87832.0 | max reserved: 95056.0
[Rank 63] (after 1 iterations) memory (MB) | allocated: 87122.2958984375 | max allocated: 94772.328125 | reserved: 87844.0 | max reserved: 95026.0

 [2025-11-16 17:43:02] iteration        2/30517578 | consumed samples:          128 | elapsed time per iteration (ms): 41885.9 | throughput per GPU (TFLOP/s/GPU): 317.3 | learning rate: 2.621439E-09 | decoupled learning rate: 6.553597E-09 | global batch size:    64 | lm loss: 1.195624E+01 | loss scale: 1.0 | grad norm: 30.479 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:43:42] iteration        3/30517578 | consumed samples:          192 | elapsed time per iteration (ms): 39649.5 | throughput per GPU (TFLOP/s/GPU): 335.2 | learning rate: 3.932158E-09 | decoupled learning rate: 9.830395E-09 | global batch size:    64 | lm loss: 1.195636E+01 | loss scale: 1.0 | grad norm: 30.934 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:44:21] iteration        4/30517578 | consumed samples:          256 | elapsed time per iteration (ms): 39283.9 | throughput per GPU (TFLOP/s/GPU): 338.3 | learning rate: 5.242877E-09 | decoupled learning rate: 1.310719E-08 | global batch size:    64 | lm loss: 1.195535E+01 | loss scale: 1.0 | grad norm: 30.579 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:45:00] iteration        5/30517578 | consumed samples:          320 | elapsed time per iteration (ms): 39128.4 | throughput per GPU (TFLOP/s/GPU): 339.6 | learning rate: 6.553597E-09 | decoupled learning rate: 1.638399E-08 | global batch size:    64 | lm loss: 1.195528E+01 | loss scale: 1.0 | grad norm: 29.583 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:45:39] iteration        6/30517578 | consumed samples:          384 | elapsed time per iteration (ms): 39420.0 | throughput per GPU (TFLOP/s/GPU): 337.1 | learning rate: 7.864316E-09 | decoupled learning rate: 1.966079E-08 | global batch size:    64 | lm loss: 1.195498E+01 | loss scale: 1.0 | grad norm: 30.357 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:46:18] iteration        7/30517578 | consumed samples:          448 | elapsed time per iteration (ms): 38899.1 | throughput per GPU (TFLOP/s/GPU): 341.6 | learning rate: 9.175035E-09 | decoupled learning rate: 2.293759E-08 | global batch size:    64 | lm loss: 1.195655E+01 | loss scale: 1.0 | grad norm: 30.360 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:46:57] iteration        8/30517578 | consumed samples:          512 | elapsed time per iteration (ms): 38935.6 | throughput per GPU (TFLOP/s/GPU): 341.3 | learning rate: 1.048575E-08 | decoupled learning rate: 2.621439E-08 | global batch size:    64 | lm loss: 1.195512E+01 | loss scale: 1.0 | grad norm: 30.585 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:47:36] iteration        9/30517578 | consumed samples:          576 | elapsed time per iteration (ms): 38488.7 | throughput per GPU (TFLOP/s/GPU): 345.3 | learning rate: 1.179647E-08 | decoupled learning rate: 2.949118E-08 | global batch size:    64 | lm loss: 1.195368E+01 | loss scale: 1.0 | grad norm: 30.133 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:48:14] iteration       10/30517578 | consumed samples:          640 | elapsed time per iteration (ms): 38408.5 | throughput per GPU (TFLOP/s/GPU): 346.0 | learning rate: 1.310719E-08 | decoupled learning rate: 3.276798E-08 | global batch size:    64 | lm loss: 1.195469E+01 | loss scale: 1.0 | grad norm: 30.453 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:48:54] iteration       11/30517578 | consumed samples:          704 | elapsed time per iteration (ms): 39897.7 | throughput per GPU (TFLOP/s/GPU): 333.1 | learning rate: 1.441791E-08 | decoupled learning rate: 3.604478E-08 | global batch size:    64 | lm loss: 1.195369E+01 | loss scale: 1.0 | grad norm: 31.426 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:49:33] iteration       12/30517578 | consumed samples:          768 | elapsed time per iteration (ms): 39126.3 | throughput per GPU (TFLOP/s/GPU): 339.6 | learning rate: 1.572863E-08 | decoupled learning rate: 3.932158E-08 | global batch size:    64 | lm loss: 1.194748E+01 | loss scale: 1.0 | grad norm: 29.658 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:50:12] iteration       13/30517578 | consumed samples:          832 | elapsed time per iteration (ms): 39066.9 | throughput per GPU (TFLOP/s/GPU): 340.1 | learning rate: 1.703935E-08 | decoupled learning rate: 4.259838E-08 | global batch size:    64 | lm loss: 1.194648E+01 | loss scale: 1.0 | grad norm: 29.958 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:50:51] iteration       14/30517578 | consumed samples:          896 | elapsed time per iteration (ms): 39001.8 | throughput per GPU (TFLOP/s/GPU): 340.7 | learning rate: 1.835007E-08 | decoupled learning rate: 4.587518E-08 | global batch size:    64 | lm loss: 1.194311E+01 | loss scale: 1.0 | grad norm: 30.734 | number of skipped iterations:   0 | number of nan iterations:   0 |
